title,slug,content,tags,image
The Spy Who Came In from the Cold,the-spy-who-came-in-from-the-cold,"In this classic, John le Carre's third novel and the first to earn him international acclaim, he created a world unlike any previously experienced in suspense fiction. With unsurpassed knowledge culled from his years in British Intelligence, le Carre brings to light the shadowy dealings of international espionage in the tale of a British agent who longs to end his career but undertakes one final, bone-chilling assignment. When the last agent under his command is killed and Alec Leamas is called back to London, he hopes to come in from the cold for good. His spymaster, Control, however, has other plans. Determined to bring down the head of East German Intelligence and topple his organization, Control once more sends Leamas into the fray -- this time to play the part of the dishonored spy and lure the enemy to his ultimate defeat.","Fiction,Thriller,Mystery,Espionage,Classics,Mystery Thriller,Novels",the-spy-who-came-in-from-the-cold.jpg
The Black Echo,the-black-echo,"For maverick LAPD homicide detective Harry Bosch, the body in the drainpipe at Mulholland Dam is more than another anonymous statistic. This one is personal...because the murdered man was a fellow Vietnam ""tunnel rat"" who had fought side by side with him in a hellish underground war. Now Bosch is about to relive the horror of Nam. From a dangerous maze of blind alleys to a daring criminal heist beneath the city, his survival instincts will once again be tested to their limit. Pitted against enemies inside his own department and forced to make the agonizing choice between justice and vengeance, Bosch goes on the hunt for a killer whose true face will shock him.","Mystery,Fiction,Crime,Thriller,Mystery Thriller,Detective,Audiobook",the-black-echo.jpg
The Day of the Jackal,the-day-of-the-jackal,"Librarian note: an alternate cover for this edition can be found here.The Jackal. A tall, blond Englishman with opaque, gray eyes. A killer at the top of his profession. A man unknown to any secret service in the  world. An assassin with a contract to kill the world's most heavily guarded man.One  man with a rifle who can change the course of history. One man whose mission is so secretive not even his employers know his name. And as the minutes count down to the final act of execution, it seems that there is no power on earth that can stop the Jackal.","Fiction,Thriller,Mystery,Crime,Espionage,Historical Fiction,Suspense",the-day-of-the-jackal.jpg
Eye of the Needle,eye-of-the-needle,"One enemy spy knows the secret to the Allies' greatest deception, a brilliant aristocrat and ruthless assassin -- code name: ""The Needle"" -- who holds the key to ultimate Nazi victory. Only one person stands in his way: a lonely Englishwoman on an isolated island, who is beginning to love the killer who has mysteriously entered her life. All will come to a terrifying conclusion in Ken Follett's unsurpassed and unforgettable masterwork of suspense, intrigue, and the dangerous machinations of the human heart.","Fiction,Historical Fiction,Thriller,Mystery,Espionage,Suspense,War",eye-of-the-needle.jpg
In the Woods,in-the-woods,"As dusk approaches a small Dublin suburb in the summer of 1984, mothers begin to call their children home. But on this warm evening, three children do not return from the dark and silent woods. When the police arrive, they find only one of the children gripping a tree trunk in terror, wearing blood-filled sneakers, and unable to recall a single detail of the previous hours.Twenty years later, the found boy, Rob Ryan, is a detective on the Dublin Murder Squad and keeps his past a secret. But when a twelve-year-old girl is found murdered in the same woods, he and Detective Cassie Maddox—his partner and closest friend—find themselves investigating a case chillingly similar to the previous unsolved mystery. Now, with only snippets of long-buried memories to guide him, Ryan has the chance to uncover both the mystery of the case before him and that of his own shadowy past.","Mystery,Fiction,Thriller,Crime,Mystery Thriller,Ireland,Suspense",in-the-woods.jpg
The Long Good-Bye,the-long-good-bye,"Down-and-out drunk Terry Lennox has a problem: his millionaire wife is dead and he needs to get out of LA fast. So he turns to the only friend he can trust: private investigator Philip Marlowe. Marlowe is willing to help a man down on his luck, but later Lennox commits suicide in Mexico and things start to turn nasty. Marlowe is drawn into a sordid crowd of adulterers and alcoholics in LA's Idle Valley, where the rich are suffering one big suntanned hangover. Marlowe is sure Lennox didn't kill his wife, but how many stiffs will turn up before he gets to the truth?","Mystery,Fiction,Crime,Noir,Classics,Detective,Mystery Thriller",the-long-good-bye.jpg
Postmortem,postmortem,"Four women with nothing in common, united only in death. Four brutalized victims of a brilliant monster - a ""Mr. Nobody"", moving undetected through a paralyzed city, leaving behind a gruesome trail of carnage . . . but few clues. With skilled hands, an unerring eye, and the latest advances in forensic research, an unrelenting female medical examiner - Kay Scarpetta - is determined to unmask a maniac. But someone is trying to sabotage Kay's investigation from the inside. And worse yet, someone wants her dead . . .","Mystery,Crime,Fiction,Thriller,Mystery Thriller,Suspense,Murder Mystery",postmortem.jpg
In Cold Blood,in-cold-blood,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.","Nonfiction,True Crime,Classics,Crime,Mystery,History,Thriller",in-cold-blood.jpg
Dance Hall of the Dead,dance-hall-of-the-dead,"Two Native-American boys have vanished into thin air, leaving a pool of blood behind them. Lieutenant Joe Leaphorn of the Navajo Tribal Police has no choice but to suspect the very worst, since the blood that stains the parched New Mexican ground once flowed through the veins of one of the missing, a young Zuñi. But his investigation into a terrible crime is being complicated by an important archaeological dig . . . and a steel hypodermic needle. And the unique laws and sacred religious rites of the Zuñi people are throwing impassable roadblocks in Leaphorn's already twisted path, enabling a craven murderer to elude justice or, worse still, to kill again.","Mystery,Fiction,Crime,Mystery Thriller,Westerns,Audiobook,Detective",dance-hall-of-the-dead.jpg
The Laughing Policeman,the-laughing-policeman,"With its wonderfully observed lawmen (including the inimitable Martin Beck), its brilliantly rendered felons and their murky Stockholm underworld, and its deftly engineered plot, The Laughing Policeman is a classic of the police procedural and ""must reading for anyone who claims to be [a student] of the best detective fiction"" (Saturday Review).","Mystery,Fiction,Crime,Sweden,Scandinavian Literature,Detective,Thriller",the-laughing-policeman.jpg
